Title,Location,Company,Salary,Date,Description
Junior Software Developer (SaaS),"Calgary, AB",Field Safe Solutions,NaN,2 days ago,"Primary Role FocusReporting to the Chief Operating Officer, the Junior Software Developer is expected to be able to work on and provide creative solutions to various interactive projects including websites, portals, mobile sites, etc., and motivated to help bring design concepts to reality. Attention to detail is a must. We imagine you have at least 2-3 years of experience in webpage design and development, with a demonstrated history of successfully delivering completed projects.Key Tasks and ResponsibilitiesDevelop and implement new web pagesMaintain and improve the performance of an existing websiteClearly and regularly communicate with technical support colleaguesRecommend improvements to an existing website and internal processes as necessaryTest and maintain a website to ensure strong functionality and optimizationDrive and manage best practiceDevelop and implement new web pagesStrong organizational skillsAbility to analyze, architect, modify, write and implement software code related to the creation or maintenance of software applications and servicesWork in collaboration with Product Management and other stakeholders to ensure that product development is focused on meeting and exceeding customer requirementsCreation of software requirement documentation, software design analysis, and implementationAbility to analyze code and application execution for optimization and performance tuningPosition RequirementsExperience and Skills:Cross-browser development skillsKnowledge of XML, JSON, DOM, and other W3C standardsStrong HTML, CSSResponsive design implementation experienceStrong JavaScript background (AJAX, JSON, MVVM, jQuery)Layout framework experience (Bootstrap, Foundation)Experience with consuming RESTful web servicesEducation and Training:Bachelor’s Degree in CS, engineering, software engineering, or related field2+ years’ experience in driving full-stack software development and engineering practicesAdditional training Project Management principles is advantageousSafety Requirements:Compliance with Field Safe Health and Safety ProgramExtended periods of sitting at a desk using a computer monitor, keyboard, and mouseCompetenciesField Safe Values:IntegrityRelationshipsTrustRole Competencies:Action OrientedExcellent CommunicationCreative Design and DevelopmentPosition TypeFull-timePosition LocationField Safe Solutions - Head Office:707 – 7th Avenue SW, Suite 1350, Calgary, AB Canada T2P 3H6About Field Safe SolutionsField Safe Solutions is a cloud-based software as a service company based in Calgary, Alberta. Our easy-to-use applications digitize the field, giving our clients real-time data and the peace of mind that their employees are accounted for at any time, anywhere in the world. Field Safe has partnered with leading organizations to help our clients drive an enterprise-wide safety culture.Job Type: Full-timeExperience:Software Development: 2 years (Preferred)"
Intermediate Angular . Net Developer,"Bowmanville, ON",Continental Currency Exchange,NaN,30+ days ago,"Who we areContinental Currency Exchange is a Canadian company celebrating its 30th Anniversary this year! We are the largest independently owned retailer of foreign exchange in Canada with 19 branches throughout Ontario. Our primary office is located in the quaint town of Bowmanville which offers all of the amenities one could ever need without the headache of the big city congestion.What you will be doingAs team lead, you will drive the modernization of our existing internal sales and management application with an Angular front-end backed by an Asp.Net Core back-end. Future projects will include a client facing cross-platform application to handle transferring, ordering and monitoring foreign currencies.You will be working withAngular 6+, Asp.Net Core, PHP, MySQL, MSSQLWhat is the existing application built onThe existing application is built with PHP and JQueryWhat you bringUndergraduate Degree or Technical Certificate2+ years experience in Angular2+ or Asp.NetStrong knowledge in UI developmentStrong knowledge of HTML technologies and web frameworksStrong knowledge of RESTful APIs and/or microservicesRelational DB knowledge (MSSQL, MySQL)Experience with Git and GitHubAbility to address and resolve highly complex and multifaceted development-related issues.Passionate about learning. You will help identify new technologies and approaches to problems. After all, Web development is always evolving. Are you?CCE is an equal opportunity employer committed to diversity and inclusion and we encourage applications from all qualified candidates, including those with disabilities. We will accommodate applicants’ needs, upon request, throughout all stages of the recruitment process. Please inform us of the accommodation(s) that you may require. Information received relating to accommodation will be addressed confidentially.Job Type: Full-timeExperience:SQL: 2 years (Required)Ionicc/Cordova: 2 years (Preferred)ANGULAR JS: 2 years (Required)ASP.NET: 2 years (Required)Git and GitHub: 2 years (Required)"
Computer Software Programmer / Developer,"Greater Sudbury, ON",Lopes Limited,NaN,30+ days ago,"Job DescriptionLopes Limited is expanding its IT department and is looking for a Computer Software Programmer / Developer to join our team. This person selected will be responsible to support the Senior Database Developer with developing and implementing all phases of the software development cycle including researching, designing, programming, testing and debugging.What we offer? competitive wages, professional development, health and dental benefits 100% covered by Lopes, RRSP contribution, great work environment and a fulfilling career with advantage of continual growth.RESPONSIBILITIES· Develop and run business intelligence reports for executives and department heads· Help with the development and implementation of internal software.· Help with the integration of the various software applications used throughout the organization· Work with project managers and stakeholders to understand and refine project functional requirements· Training and supporting them in the use of software.SKILLS AND QUALIFICATIONS· Strong recent coding experience in any standard scripting and/or programming language such as Javascript, Python, or similar· A strong understanding of RDBMS, including building and executing efficient queries in Filemaker Pro and MS SQL· Proficient on integration (ODBC, web service API, WebDirect)· Experience working with ERP and business processes. Project Management experience is an asset· Understanding and implementation of security and data protection· Strong written and verbal communication skills, including the ability to communicate complex technical issues effectively in basic English· Strong time management skills and attention to details· Work well independently and as part of a team· Ability to work under pressure and short notice with minimal supervision· Ability to work in an industrial environment· Experience in Office 365 (Beyond Word, Excel, Outlook and Powerpoint Teams, PowerApps, Flow, Graph) is an asset.· Education:· Post-Secondary degree and certifications in related field_____________________________________________________________________________Please note that applicants must be legally entitled to work in Canada.Lopes is committed to the principle of equity in employment. Accommodation will be provided throughout the hiring process, as required. Applicants must make their needs known in advance.We thank all applicants for their interest, however, only those selected for further consideration will be contacted.Job Type: Full-timeExperience:Computer Programming: 4 years (Preferred)"
Software Developer - PHP,"Montréal, QC",MindGeek Careers,NaN,30+ days ago,"MindGeek is the largest, privately held company in our industry developing unparalleled technologies for high traffic, high volume online properties. Our exceptional team consist of experts in every functional area of business and they are the key to our position as leaders in content delivery. We strive to innovate on a daily basis to ensure we continue to grow and create new revenue opportunities and cutting edge technology. If you are passionate about taking your career to the next level, then join the MindGeek team and be a part of something big.Responsibilities:As a member of a growing team you will have a mandate to take part in all stages of the web development life cycle. Your key daily tasks include:Develop, implement and maintain object oriented backend applications with PHP, MySQLProduce and launching of sitesPerform code verification and determine recommendations for adaptationAnalyze processes in order to provide solutionsRequirements:Bachelor's degree in Computer Science/Engineering or equivalent with 2-5 years of related work experienceExcellent knowledge of web technologies in PHPStrong knowledge of database technologies to scale for high volume web sitesExperience in dealing with large scale websites that receive millions of visits per dayStrong knowledge with dealing large system including logging and reportingGood HTML/JS/CSS knowledgeLamp Server experienceKnowledge of UNIXExcellent analysis, problem-solving and communication skillsAbility to deal with constantly changing technical prioritiesStrong command of the English language. Spoken FrenchWhat we offer:Leadership development program, on-demand online learning, Educational Assistance Program, Lunch&Learns.Daily breakfastFlex time and summer hour scheduleA 500$ fitness allowanceSocial Events throughout the year including summer BBQ, Halloween costume party, Holiday party and 5 a 7 cocktails and bites.Opportunity to give back to the community through our Ronald Macdonald House visits and supporting the MindGeek Scholarship Fund for Dans la RueA chance to work with a first-class team !We thank all applicants for their interest, however only candidates under consideration will be contacted. No telephone calls please. No agency calls or emails.INDHIGH"
iOS Mobile Developer,"Montréal, QC",Newforma Inc,NaN,30+ days ago,"iOS Mobile Developer (Montreal, QC)Canadian candidates must have permanent Canadian work authorization to be considered.Overview:Newforma, a leading provider of software for design and construction firms worldwide, is growing! Creating software that makes a difference in the AEC (architecture, engineering and construction) industry is what drives our company. If you have the drive, confidence, thirst for knowledge, desire to be challenged and technical expertise required, we’d like to see your resume.We’re looking for an experienced iOS mobile app developer that has a passion for working in an Agile environment. You’ll be responsible for developing native mobile applications, collaborating closely with design and product management, and providing technical guidance.Primary Qualifications:Passion for learning new, cutting edge technologies in a fast-moving environmentExcellent problem-solving skillsExperience developing large-scale, well-written mobile appsAbility to write clean and maintainable codeEngaging communication skillsHighly organized and detail-drivenRequirements:3+ years of relevant professional experienceProficiency in developing business-class iOS native appsProficiency in Swift and XCodeExperienced with both iPhone and iPad layoutsKnowledge of related development tools and frameworksFamiliarity with tuning tools and optimization best practicesUse RESTful web servicesDesired, but not required:Reactive (Rx) programming experienceAccessibility best practicesInternationalizationExisting apps in the app storeExperience writing multiple mobile technology applications (Android, iOS)Who We Are:Newforma’s intuitive project information management (PIM) technology promotes collaboration between individuals, project teams and across the enterprise in the AECO industry. By building a more connected project environment, Newforma optimizes the processes by which critical information is captured, shared and managed, and delivers a more intelligent and profoundly productive experience for architects, designers, builders, owners, and the full construction team.Equal Opportunity Employer:Qualified applicants will receive consideration without regarding to age, race, color, religion, sex, sexual orientation, disability, or national origin. Must be eligible to work the United Stated and pass a background check."
React Native Mobile App Developer,"Hamilton, ON",Nix Sensor Ltd.,NaN,30+ days ago,"About Nix Sensor Ltd.We’re a team of creators and a band of problem solvers. We expertly build ground-breaking products for color professionals and everyday consumers that put the world of color in the palm of their hands. We do it with the magic (ahem, the science) of our Nix Color Sensor. Like the eyedropper tool in real life, it takes real-world color and makes it digital, empowering customers to move through their projects with confidence, accuracy and ease.Our tools are engineered with life in mind, ensuring that our users can take their Nix wherever they find color, or need to measure it. Whether that’s in a photography studio in L.A. or an egg farm in rural Germany, our products are being used around the globe and across the color spectrum.About YouInterested in joining our team of thinkers, makers and creators? You’re in the right the right place if:You appreciate both the left and right side of the brain. We merge science with creativity in everything we do, and we hope you like to do the same.You design with impact. We strive to build tools that make life and workflows more efficient, giving our customers the ability to bring theirA-game to every project.You want to inspire. At Nix, you’ll have a hand in building products that are meant to enable, empower and enlighten.You are not afraid to ask questions. Confused or think there might be a better way to do something? Dig deeper, ask questions, and explore. We encourage each and every team member to tap into their inner scientist so we can continue to build better.What will you do?Help to build beautifully designed apps that work with our award-winning hardwareWork with our designers and product team to create a seamless user experienceOwn our core apps and build a foundation on which to create other tools for our usersIterate, test, and release products as quickly as we can gather feedback from our users and customersWhat will you need?Experience building iOS and Android appsExperience with React NativeThe ability to work in a fast paced, collaborative environment, alongside the rest of our dynamic teamWhat makes Nix a great place to work?We want you to grow with us. This is a dynamic opportunity to join and build the next great Canadian success story. Ranked No. 33 on the 2018 Startup 50 of Canada’s Top New Growth Companies by Canadian Business and Maclean’s, we’re a stable and innovative start-up that continues to grow year-over-year.Work with the best. The brains at Nix are inspiring, motivating and dedicated to building innovative products that shake up the color industry.We’re based in a beautiful, bustling and ever-evolving city. Nix is located in Hamilton, Ontario. Our office is accessible via public transit and is close to countless restaurants, bars, parks, schools and more, plus we offer free parking.We follow the start-up rule book. (So, don’t worry – we’ve got your snack needs covered.)"
NaN,"Toronto, ON",AudienceView,NaN,13 days ago,"We are looking for New Graduate Java and Front-End Software Developers!The Company:AudienceView is an organization of people who are passionate about the business of live events. We create industry-leading software solutions that fuel attendee engagement, ticket sales, and advertising solutions for close to 9,000 higher education, music, and theater venues in 15 countries around the world. AudienceView employees share a vision to help entertainment organizations deliver exceptional experiences for people who love live events. We achieve this through innovative technology, popular media brands, effective distribution strategies and a dedicated team of experts that help propel our clients’ success every single day.The Position:We are looking for an ambitious, self-driven Software Engineers to join our team. You will be responsible for analyzing, implementing, building, testing and supporting the various consumer interfaces. You will work alongside other engineers/developers and designers, collaborating on the various layers of the infrastructure. With your excellent communication skills and willingness to learn, you will take on new challenges. This is a great opportunity to participate in a growing, supportive and collaborative Agile team while working on all parts of the development stack.Position Responsibilities:Write clean, concise, readable code that follows common design patterns and principles.Help create and maintain a positive, inclusive and accepting work environment.Manage time and multiple, competing priorities.Maintain coding standards and practices.Translate business requirements into technical design specifications that work well with established architecture. Understand how software is used in the field and learn how the business functions. Apply this understanding in writing software that delivers business value and a competitive edge.Participate in daily scrum meetings, and deliver features on time as a team.Collaborate with product developers, quality analysts , client services agents, and salespeople. Understand how software is used in the field and learn how the business functions. Apply this understanding in writing software that delivers business value and a competitive edge.Deliver quality product, perform peer code reviews and support the team. Review design specs and code, while exchanging constructive feedback with your peers and stakeholders.Manage time and multiple, competing priorities.Self-start to deliver on deadlines.Learn new technologies and report on them as needed to help challenge the architecture.Why AudienceView:AudienceView is the leading provider of e-commerce solutions to some of the world’s biggest ticket resellers and venues who are shaping the future of ticket sales and event promotions.Specialized in end-to-end e-commerce ticketing and event CRM across multiple markets.Company repositioning for rapid paced growth ensuring great career opportunities for motivated professionals.Located in the heart of downtown Toronto a respected hub of the Toronto tech community.Full kitchen with free fruit, coffee.Bagel and muffin day every Wednesday.Competitive salary with performance review and personal growth.Excellent benefits.Flexible hours and work remote opportunities.Employee social lounge and dynamic Social Events team.Partner with Customers who are leaders in online ticketing sales around the world.Exciting customer markets in Sports, PerformingDiversity and inclusion have always been at the core of our values at AudienceView. A diverse workforce with wide perspectives and creative ideas benefits our clients, the communities where we operate and all of us as colleagues. We welcome applications from qualified individuals from all backgrounds.Persons with disabilities who need accommodation in the application process or those needing job postings in an alternative format may e-mail a request to peopleteam@audienceview.com"
PHP Web Developer,"Mississauga, ON",TravelBrands Inc,NaN,2 days ago,"JOIN OUR CREWPosition: PHP Web DeveloperDepartment: Information TechnologyReports to: Director, EngineeringThe OpportunityYou will be tasked with the more challenging elements of the technical design and development of building application features that are both flexible and modular for the purpose of re-usability; and contribute to the development of new features, enhancement and bug fixes.The Skills, Experience and Requirements You Need to be Successful· College/University degree in Web Design/Development· Experience within the Travel industry an asset.· 5+ years of experience with PHP· Experience working with PHP MVC frameworks: Zend & Laravel· Experience creating and working with RESTful & SOAP APIs· 5+ years of experience with JavaScript (ES6)· 3+ years of strong hands-on experience with ReactJS· Strong experience with using NPM, Babel and Webpack to build and streamline processes· Expert level knowledge of JavaScript/ES6, HTML5, CSS (CSS3), SASS· Strong knowledge and experience with NOSQL/SQL databases· Experience with Git· 5+ years of experience in web production and/or development· Ability to work under pressure and react with urgency, meet deadlines and produce results on time· Ability to respond quickly and effectively under constant changing conditions· Accurate, thorough and detail oriented· Ability to work in a multi function, multi-tasking, detailed environment both within a team as well as independentlyCrew Advantages· One paid day off for your birthday· Summer hours· Travel perks for you and your friends and family· Several corporate benefits and discounts provided by our partners such as auto and home insurance and gym memberships· Flexible medical and dental packages· RRSP match program and access to a financial advisor at no cost to you· Employee Assistance Program for you and your family members· The opportunity to partake in charitable activities to support the SickKids foundation and other local initiatives· Fun Force – Social Committee activities including Food Truck festivals, Holiday Market, themed days, contests and more organized employee events· Close access to the subway system (for the Montreal office)· Variety of lunch/coffee spots short walking and driving distanceWho We AreRed Label Vacations Inc., a division of the H.I.S. Group, is one of Canada’s largest travel companies. Incorporated in 2004, Red Label Vacations owns and operates multiple wholesale and retail travel brands. The retail division; including redtag.ca, itravel2000.com, Sunquest, The Travel Experts, Flights.ca and Cruises.ca; offers diverse products to travelers including destination packages, flights and hotels worldwide, excursions and more. The wholesale travel business, TravelBrands, provides a full range of travel products including air, hotel, car rental, cruise and specialty to travel agents and retail agencies throughout Canada. Red Label Vacations is a comprehensive one-stop shop for agents and travelers alike.Are You Ready to Be a Part of Our Driving FORCEF orward ThinkingO pennessR esilienceC ustomer FocusedE ngaging Each OtherRed Label Vacations values diversity in the workplace and is committed to employment equity. In accordance with the Accessibility for Ontarians with Disabilities Act (AODA), Red Label Vacations will provide accommodation, accessible formats and communication supports for the interview upon request. Should you require any accommodation during the recruitment process or otherwise, please notify us of this via email and we will work with you to meet your accessibility needs.Job Types: Full-time, PermanentExperience:Javascript (ES6): 5 years (Preferred)ReactJS: 3 years (Preferred)PHP: 5 years (Preferred)NOSQL/SQL databases: 3 years (Preferred)"
NaN,"Milton, ON",Profit Solutions International Inc.,"$45,000 - $75,000 a year",8 days ago,"College/CEGEPExperience an assetWork SettingConsulting firmSpecific SkillsWrite, modify, integrate and test software codeIdentify and communicate technical problems, processes and solutionsPrepare reports, manuals and other documentation on the status, operation and maintenance of softwareAssist in the collection and documentation of user's requirementsAssist in the development of logical and physical specificationsMaintain existing computer programs by making modifications as requiredWrite, modify, integrate and test software code for e-commerce and other Internet applicationsProgramming LanguagesObject-Oriented programming languagesJavaScriptCSSJQueryC#.NETASP.NETPowerBuilderTransportation/Travel InformationOwn transportationTravel expenses paid by employerWork Conditions and Physical CapabilitiesFast-paced environmentWork under pressureAttention to detailTight deadlinesComputer and Technology KnowledgeDatabase softwareProgramming softwareWeb service designSoftware developmentAPIPersonal SuitabilityInitiativeEffective interpersonal skillsAccurateTeam playerExcellent oral communicationExcellent written communicationClient focusJudgementOrganized"
NaN,"Toronto, ON",Energy Profiles Limited,NaN,12 days ago,"About EPLAt EPL, we quantify changes to the use of our earth’s resources, so we can help our clients make better decisions for our world.We help our clients improve both their environmental performance and their bottom line while at the same time providing independent, impartial strategic guidance. Our clients include some of the largest public and private companies in Canada, collectively representing approximately 2.5% of national electricity use.We have built our reputation on doing things really well. We have a bright, talented, and engaging team with a lot of passion for what we do: helping large energy users across North America reduce their energy/carbon footprints and quantifying energy costs.About the RoleRecent and projected growth has led us to search for a capable new graduate to take on a Full Stack Developer role at our Toronto office. We can accommodate new hires immediately and in the Spring/Summer of 2020.Developers are an integral part of our Data Systems Group. This is our team of engineers, analysts, and developers who both develop and utilize our proprietary software and systems to analyze and report on utility data. As a member of the team you will:Use a full-stack of technologies in the development of tailored client-facing and internal websites.Work with modern browser technologies and frameworks (Angular 4, ASP.NET).Write elegant SQL queries and design efficient database schema.Apply your smarts and problem-solving talents to troubleshoot and debug existing websites.EPL Developers take ownership of projects from early in the design phase through development, deployment and maintenance, giving them the opportunity to experience the full development life cycle.What to expectPeople are the most important part of our company.We have found that exposure to different parts our business, systems, and processes is essential in developing our team members? capabilities and careers. The success of our people drives the success of our company. Each team member?s specific role evolves based on their interests, aptitude, and business needs throughout theirTo that end, EPL Developers typically complete several rotations in their first year at EPL. Each rotation involves doing real work on a different aspect of our business, with a focus on understand how the systems we build are used. Potential rotations include:Web Development: How do we best present information to our clients to drive savings?Data Science: what are the 100,000+ energy-related data points generated by a skyscraper every day? Is the data accurate? What does it tell us?Building Analytics: How is energy used in buildings? Where are the opportunities for savings?Data Integrity : Do you know what each electricity bill line item means? How do you know if you were billed correctlyForecasting and Reporting: What insights do our clients need to help run their businesses?EPL team members also:Unlimited Vacation & Flexible Work Hours (you own your time)Vibrant workplace & regular team fun (events & activities)Work with super smart and nice people!About YouYou are smart and act with purpose. You want to be a part of building our team and company.Nominally, you have an undergraduate degree in an engineering discipline, computer science, or another technical field (or equivalent experience).Summer or internship experience contributing to the development of web and cloud based sites using a mix of the below technologies:JavaScript (jQuery, Angular), HTML, and/or CSSC#, Java, Python and/or ASP.Net or similar languages.Microsoft SQL ServerIt is important that the applicant can communicate clearly and efficiently. As we have clients across Canada and the US, fluency in French would be an asset, but is not mandatory."
Frontend UI Web/App Developer,"Toronto, ON",Jeavensoft,NaN,30+ days ago,"Are you an enthusiastic Frontend UI Web/App Developer? Do you take pride in your work and consider it as a craft? If yes, then this is the job for you ..read on..Jeavensoft is a global software solution provider with experience in providing custom software solutions for various verticals, including Healthcare, Media, Finance, Public Sector and Education.We are looking for Frontend UI Web/App Developer with experience in working with high volume systems where performance matters. You will be responsible for providing full end-to-end design and development capabilities in web, mobile, and social media across the enterprise. Our primary focus is to create best in class digital customer experience where every solution is designed with keeping users in mind. All work is delivered through agile-scrum or Kanban methodologies.We're an open team of highly motivated entrepreneurs, designers and engineers driven to change the world around us for the better using technology while at the same time having fun in doing what passionate us.Role Summary:This position is for an experienced Frontend UI Web/App Developer able to work in a fast-paced environment that relies on agile principles, continuous integration and deployment. The Frontend UI Web/App Developer will work with other like-minded developers to implement rich digital user experience. This is your chance to take on big challenges and be part of building unique applications.Key Accountabilities:§ Technical design and implementation (build/code/test) of web, Android, iOS applications and digital interfaces§ Contribute to application improvement and optimization through code reviews, refactoring, caching and architecture changesAbility to turn design into a functional App UI using modern JS FrameworksUnderstanding of native Mobile App development practices and ecosystems (iOS, Android)Hand-on ability to turn design into functional responsive web pagesExperience in writing and testing cross-browser functionality and developmentHas worked with back-end developers throughout the entire development lifecycleExperience in consuming RESTful web services/API.Comfortable with Agile methodologies and version control (Git), Kanban, Scrum, BitbucketDemonstrated work experience throughout a complete software project delivery cycleFamiliarity in multi-environment development and deployment with experience deploying to production environmentsExperienced in creating intuitive, robust and reusable user interfaces using modern frameworks§ Maintaining code quality and best practicesTechnical Skills:Postsecondary education in Computer Science, Software Engineering or equivalent working experienceExperience with one modern JS Frameworks or Libraries (ReactJS, Angular, VueJS or similar technologies)Node.js, npm, Babel, Webpack and other related development toolsExperienced with HTML5, Javascript, CSS3, AJAX, Bootstrap 4.0Expertise in jQuery, jQuery UI other application frameworksStrong JavaScript skills including ES6/2015 featuresWeb services REST APIs, JSONNon-Technical Skills:§ Proven analytical, evaluative and problem-solving abilities§ Excellent written and oral communication skills§ Excellent interpersonal skills§ High level of self-motivation§ Keen attention to detail§ Ability to effectively prioritize and execute multiple tasks in a high-pressure environment§ Exceptional customer service orientation§ Working under minimal supervision§ Strong team playerHand-on Experience:§ JS Framework: 4 years (Required)§ Bootstrap: 4 years (Required)§ Responsive pages design from scratch: 5 years (Required)§ HTML5: 5 years (Required)§ Native Mobile App development on Android & iOS: 4 years (Required)Additional InformationType: Contract - Opportunity to lead into full time for the right candidateHours: 30 – 40+ hours a weekExperience: Senior levelJob ID: 1229Jeavensoft is committed to creating and sustaining a collegial work environment in which all individuals are treated with dignity and respect and one that reflects the diversity of the community in which we operate. We provide accommodations for applicants and employees who require it.To apply for this position, please submit your cover letter and resume via career@jeavensoft.com. All attachment has to be in PDF format. We thank all applicants for their interest, however, only those selected for further consideration will be contacted."
Front End Developer,"London, ON",Price and Build,NaN,Just posted,"priceandbuild.com is looking for Software Developers to join the Price & Build team!READY TO JOIN OUR START-UP and BECOME A PART OF SOMETHING BIG?Intermediate Front-End DeveloperAs a Developer working on our Price and Build software solution, you will contribute to all phases of the Software Development Lifecycle. You will engage in the analysis, design, implementation, verification and maintenance of software solutions. This role works closely with management to review requirements, validate designs, create work estimates, develop software and verify product releases.All our Developers also work in close collaboration with the entire technical team and senior management to define and implement best practices to serve our Customers. If you are an all-star developer, want to be heard, develop industry-changing code, and enjoy the ride, we’re ready for you.Job Duties & Responsibilities: Develop a detailed technical understanding of client needs and project requirements Design and code software applications from business and technical specifications Develop and execute unit, component, and integration level tests to verify requirements are met Ensure coding standards and product quality targets are met through the completion of codereviews Investigate and resolve complex technical issues for assigned projects Contribute to the creation of technical and end user product documentation Work directly with the Management Team to discuss progress and status updates Effectively communicate and prioritize needs, resolve conflicts, and develop the best possiblesolutions within the budget and timeline constraints provided. Participate in peer code review and provide constructive feedback and support to peer developers. Collaborate with other technical stakeholders to create detailed work package estimates General office duties including but not limited to; team meetings, filing documentation, data entry, gathering information and research as needed. Other Development and/or Leadership tasks as assigned from time-to-timeQualifications: Post-secondary education in Software Engineering or a related field 3+ of software development experience Strong Javascript or Typescript skills. Knowledge of Angular (preferable), Vue.js or React.js Nice to haves: Knowledge of OOP languages (C#, Java) and Databases (RDBS and Nosql) Experience with HTML / CSS3 (SCSS) / Javascript (ES6) and Responsive Web Design principles. Cloud computing experience (AWS, GCP, Azure etc.) Experience with version control software such as Gitlab Exceptionally self-motivated, self-directed, and detail-oriented with excellent communication,analytical, and problem-solving skills (we’re looking for great people – we’ll teach you the rest)Once you join the company, you will enjoy: a competitive Compensation Package Vacation Time starting in the first year The security of a benefits package, including health, dental and vision The ability to work in the office or remotely (as approved by management) Participation in Industry Events, Conferences and business planning activities Team dinners and Social events An environment that fosters collaboration and career growth opportunitiesOur corporate culture is results focused, and our offices are informal with the goal of inspiring collaboration and outside-the-box thinking. What do we Look for on our Team? Accountability - Ability to take ownership and responsibility for project tasks / outcomes. Communication - Ability to communicate in a clear, concise and effective manner Flexibility - Acceptance and openness to change. Integrity - Ability to maintain honesty and integrity in the workplace and at off-site functions Organization - Ability to be organized, detail oriented, and effectively manage your time Problem Solving – Solve problems using critical thinking and applying your experience Quality Management - Ability to follow industry best practices and the highest standards Self-motivation - Ability to self-improve on an ongoing basis; embrace continuous learning Team Participation - Work together to achieve project and corporate goals Working Relationships - Maintain a positive and constructive attitude at all timesEquity and DiversityPrice and Build invites applications from all qualified individuals. We are committed to employment equity and diversity in the workplace and welcome applications from all individuals. If you require anyaccommodation, please let us know when you apply.Benefits:Extended health careVision careDental careFlexible working hoursReference ID: FRONTENDJob Types: Full-time, Part-time, Contract, PermanentExperience:css: 3 years (Preferred)JavaScript: 3 years (Preferred)"
NaN,"Kitchener, ON",Ecmarket/Conexiom,NaN,10 days ago,"ecmarket is the creator of Conexiom, a patent-pending Cloud service for sales order automation used by some of the world’s most innovative companies. With the continued significant growth in Conexiom usage, ecmarket is looking to build out its global SaaS Provisioning team in Vancouver. As a Junior Programmer on the SaaS Provisioning Mapping team (aka: a Mapper), you will be the critical link between our Customers and our Cloud service, helping to design, build, deploy and maintain their custom Conexiom maps.KEY QUALIFICATIONSPost-Secondary degree in Computer Science, Engineering or other relevant degree with strong programming skillsMinimum 1 year corporate experience using C# or Java, or other equivalent experienceExcellent English communication skills both verbal and writtenOutstanding attention to detailAbility to work independently and in a team settingExperience creating and/or maintaining technical documentation is an assetKEY RESPONSIBILITIESCreate, validate, maintain and QA custom document transformation “maps” using ecmarket’s proprietary toolsetCreate, validate, maintain and QA custom transformation logic for maps using C#Real-time troubleshooting and fixing of “live” maps using ecmarket’s proprietary toolset and C#Maintain and advance internal technical documentation for the SaaS Provisioning Mapping teamAfter-hours support on a rotational basisBoth Monday-Friday (9:00 am – 5:00 pm) and Monday-Thursday (2:00 pm – 10:00 pm) shifts available."
Front End Developer - REACT,"Toronto, ON",Intelense Inc,$20 - $25 an hour,4 days ago,"MAIN BUSINESS OBJECTIVES:Intelense Inc is looking for a Front-End Developer with the ability to design, develop, test, deploy AI-enabled solutions for our mission-critical product offering. You will be responsible for delivering high-quality interfaces and user experiences in collaboration with AI Engineers, Data Scientists and Full Stack Developer. You will work under the supervision of the Founders as well as one of the Team Leads and will be accountable for developing and maintaining key modules of Intelense Solution. The successful candidate should feel comfortable developing in all tiers of a SaaS-based web application.All applicants must possess the following:· Degree in Computer Engineering, Computer Science or an equivalent field· Experience in Agile methodologies· Strong knowledge of modern front-end frameworks such as React, Vue, etc.· Strong knowledge of Node.js, SASS, Web Components, RxJS· Very strong knowledge of JavaScript, HTML, CSS· Strong knowledge of modern unit testing and end-to-end testing frameworks· An eye for good UX design, and the ability to engage in constructive criticism of proposed UX designs· Strong knowledge of non-blocking asynchronous code patterns· Familiarity with CI/CD workflows, the SLDC in-depth and DevOps in general· Familiarity with Git· Strong knowledge of NPMESSENTIAL DUTIES & RESPONSIBILITIES:· Work with Product Architects and Developers to understand and successfully execute Product Roadmaps· Support technology and business decisions and direction· Participate in all phases of the iterative development cycle, including grooming, planning, daily stand ups, demos and retrospectives.· Take ownership of deliverable and provide leadership as a senior member of the team, resolving impediments and executing technical direction throughout· Help define, estimate and commit to a development plan, ensuring successful implementation of the plan alongside your peers· Improve the quality of all solutions by actively participating in the testing process through unit testing and bug fixes· Continuously engage with other development teams to identify and resolve cross-team dependencies/issues, always looking for ways to improve· Interface with other technology, teams to ensure issue-free deployments· Help define, participate in and enforce a peer code review process, ensuring adherence to standards and proper implementation· Identify, the document, and assist in the planning and management of technical debt, quality and performance throughout all stages of the development process· Contribute, review and provide feedback on architectural designs by having a voice and communicating your thoughts clearly, ensuring adoption· Remain up to date in emerging trends in software development, advocating for their adoption where and when appropriate· Evaluate new, cutting-edge technologies and methodologies through further education and proof of concepts· Ensure appropriate coverage of automated tests, including unit tests, integration tests, coded UI tests and UI tests, is introduced for all new code· Lead by example, continuously evolving yourself and those around you to meet the needs of the business through successful implementation and deployment of software· Act as a mentor for existing developers, coaching and encouraging them regularly and actively participating in new employee on-boarding· Clearly articulate ideas both verbally and written, with a positive attitude· Listen to others, encouraging and accepting input from all team members· Appreciate and acknowledge individual and team contributionsBenefits:Flexible working hoursJob Types: Full-time, Contract, PermanentSalary: $20.00 to $25.00 /hourExperience:Node : 1 year (Preferred)front end development: 1 year (Preferred)"
